
Image Name                     PID Session Name        Session#    Mem Usage
igfxEM.exe                   15876 Console                    2     18,040 K
svchost.exe                   2544 Console                    2      7,660 K
svchost.exe                   7840 Console                    2     48,108 K
taskhostw.exe                  828 Console                    2     23,576 K
HDSentinel.exe               17752 Console                    2     18,152 K
PowerMgr.exe                  4484 Console                    2      6,304 K
explorer.exe                 15348 Console                    2   3,42,524 K
ShellHost.exe                13648 Console                    2     50,488 K
ApMsgFwd.exe                  2468 Console                    2      9,676 K
CrossDeviceResume.exe         4376 Console                    2     59,552 K
svchost.exe                  11532 Console                    2     27,364 K
RtkAudUService64.exe          7576 Console                    2     16,760 K
SearchHost.exe                9764 Console                    2   1,32,884 K
StartMenuExperienceHost.e    12668 Console                    2   1,57,188 K
svchost.exe                  19012 Console                    2     27,908 K
RuntimeBroker.exe            16236 Console                    2     61,920 K
msedgewebview2.exe            3840 Console                    2   1,20,688 K
msedgewebview2.exe           19232 Console                    2     15,852 K
msedgewebview2.exe            3824 Console                    2     63,148 K
msedgewebview2.exe           19196 Console                    2     45,428 K
msedgewebview2.exe            6872 Console                    2     23,900 K
Widgets.exe                   2624 Console                    2     56,176 K
msedgewebview2.exe            6140 Console                    2     84,556 K
WidgetService.exe            11020 Console                    2     24,728 K
TextInputHost.exe            16952 Console                    2   1,34,724 K
UserOOBEBroker.exe            3064 Console                    2     11,348 K
ctfmon.exe                   11388 Console                    2     35,296 K
SecurityHealthSystray.exe    17460 Console                    2     13,276 K
RtkAudUService64.exe         10720 Console                    2      4,600 K
ms-teams.exe                 11284 Console                    2     33,532 K
svchost.exe                  11500 Services                   0     31,100 K
RuntimeBroker.exe             6632 Console                    2     13,392 K
msedgewebview2.exe            9284 Console                    2     33,732 K
msedgewebview2.exe            6676 Console                    2     16,200 K
msedgewebview2.exe            4436 Console                    2      7,220 K
msedgewebview2.exe            8260 Console                    2     22,056 K
msedgewebview2.exe            7192 Console                    2      4,300 K
msedgewebview2.exe            1516 Console                    2   1,00,540 K
ms-teams.exe                 18820 Console                    2     20,148 K
